,step,scenario,algorithm,length,qname_count,qname
218,dnskey_removal-,2 A RRs with RRSIG,ecdsa256,939,"[3, 3]",dnskey_removal-ecdsa256.example.
219,rrsig_removal-,2 A RRs with RRSIG,ecdsa256,811,"[2, 2]",rrsig_removal-ecdsa256.example.
220,initial-,2 A RRs with RRSIG,ecdsa384,237,"[2, 2]",initial-ecdsa384.example.
221,new_rrsig-,2 A RRs with RRSIG,ecdsa384,950,"[3, 3]",new_rrsig-ecdsa384.example.
222,new_dnskey-,2 A RRs with RRSIG,ecdsa384,960,"[3, 3]",new_dnskey-ecdsa384.example.
223,dnskey_removal-,2 A RRs with RRSIG,ecdsa384,973,"[3, 3]",dnskey_removal-ecdsa384.example.
224,rrsig_removal-,2 A RRs with RRSIG,ecdsa384,812,"[2, 2]",rrsig_removal-ecdsa384.example.
225,initial-,2 A RRs with RRSIG,ed25519,203,"[2, 2]",initial-ed25519.example.
226,new_rrsig-,2 A RRs with RRSIG,ed25519,923,"[3, 3]",new_rrsig-ed25519.example.
227,new_dnskey-,2 A RRs with RRSIG,ed25519,927,"[3, 3]",new_dnskey-ed25519.example.
228,dnskey_removal-,2 A RRs with RRSIG,ed25519,936,"[3, 3]",dnskey_removal-ed25519.example.
229,rrsig_removal-,2 A RRs with RRSIG,ed25519,812,"[2, 2]",rrsig_removal-ed25519.example.
230,initial-,2 A RRs with RRSIG,ed448,249,"[2, 2]",initial-ed448.example.
231,new_rrsig-,2 A RRs with RRSIG,ed448,962,"[3, 3]",new_rrsig-ed448.example.
232,new_dnskey-,2 A RRs with RRSIG,ed448,968,"[3, 3]",new_dnskey-ed448.example.
233,dnskey_removal-,2 A RRs with RRSIG,ed448,979,"[3, 3]",dnskey_removal-ed448.example.
234,rrsig_removal-,2 A RRs with RRSIG,ed448,803,"[2, 2]",rrsig_removal-ed448.example.
235,initial-,2 A RRs with RRSIG,falcon,797,"[2, 2]",initial-falcon.example.
236,new_rrsig-,2 A RRs with RRSIG,falcon,1512,"[3, 3]",new_rrsig-falcon.example.
237,new_dnskey-,2 A RRs with RRSIG,falcon,1516,"[3, 3]",new_dnskey-falcon.example.
238,dnskey_removal-,2 A RRs with RRSIG,falcon,1528,"[3, 3]",dnskey_removal-falcon.example.
239,rrsig_removal-,2 A RRs with RRSIG,falcon,807,"[2, 2]",rrsig_removal-falcon.example.
240,initial-,NS,rsasha1,707,"[3, 3]",initial-rsasha1.example.
241,new_rrsig-,NS,rsasha1,2143,"[5, 5]",new_rrsig-rsasha1.example.
242,new_dnskey-,NS,rsasha1,2145,"[5, 5]",new_dnskey-rsasha1.example.
243,dnskey_removal-,NS,rsasha1,2169,"[5, 5]",dnskey_removal-rsasha1.example.
244,rrsig_removal-,NS,rsasha1,1528,"[3, 3]",rrsig_removal-rsasha1.example.
245,initial-,NS,rsasha256,713,"[3, 3]",initial-rsasha256.example.
246,new_rrsig-,NS,rsasha256,2149,"[5, 5]",new_rrsig-rsasha256.example.
247,new_dnskey-,NS,rsasha256,2157,"[5, 5]",new_dnskey-rsasha256.example.
248,dnskey_removal-,NS,rsasha256,2178,"[5, 5]",dnskey_removal-rsasha256.example.
249,rrsig_removal-,NS,rsasha256,1532,"[3, 3]",rrsig_removal-rsasha256.example.
250,initial-,NS,rsasha512,713,"[3, 3]",initial-rsasha512.example.
251,new_rrsig-,NS,rsasha512,2150,"[5, 5]",new_rrsig-rsasha512.example.
252,new_dnskey-,NS,rsasha512,2161,"[5, 5]",new_dnskey-rsasha512.example.
253,dnskey_removal-,NS,rsasha512,2183,"[5, 5]",dnskey_removal-rsasha512.example.
254,rrsig_removal-,NS,rsasha512,1533,"[3, 3]",rrsig_removal-rsasha512.example.
255,initial-,NS,ecdsa256,326,"[3, 3]",initial-ecdsa256.example.
256,new_rrsig-,NS,ecdsa256,1764,"[5, 5]",new_rrsig-ecdsa256.example.
257,new_dnskey-,NS,ecdsa256,1763,"[5, 5]",new_dnskey-ecdsa256.example.
258,dnskey_removal-,NS,ecdsa256,1786,"[5, 5]",dnskey_removal-ecdsa256.example.
259,rrsig_removal-,NS,ecdsa256,1531,"[3, 3]",rrsig_removal-ecdsa256.example.
260,initial-,NS,ecdsa384,390,"[3, 3]",initial-ecdsa384.example.
261,new_rrsig-,NS,ecdsa384,1824,"[5, 5]",new_rrsig-ecdsa384.example.
262,new_dnskey-,NS,ecdsa384,1832,"[5, 5]",new_dnskey-ecdsa384.example.
263,dnskey_removal-,NS,ecdsa384,1856,"[5, 5]",dnskey_removal-ecdsa384.example.
264,rrsig_removal-,NS,ecdsa384,1526,"[3, 3]",rrsig_removal-ecdsa384.example.
265,initial-,NS,ed25519,323,"[3, 3]",initial-ed25519.example.
266,new_rrsig-,NS,ed25519,1758,"[5, 5]",new_rrsig-ed25519.example.
267,new_dnskey-,NS,ed25519,1759,"[5, 5]",new_dnskey-ed25519.example.
268,dnskey_removal-,NS,ed25519,1781,"[5, 5]",dnskey_removal-ed25519.example.
269,rrsig_removal-,NS,ed25519,1527,"[3, 3]",rrsig_removal-ed25519.example.
270,initial-,NS,ed448,417,"[3, 3]",initial-ed448.example.
271,new_rrsig-,NS,ed448,1846,"[5, 5]",new_rrsig-ed448.example.
272,new_dnskey-,NS,ed448,1854,"[5, 5]",new_dnskey-ed448.example.
273,dnskey_removal-,NS,ed448,1870,"[5, 5]",dnskey_removal-ed448.example.
274,rrsig_removal-,NS,ed448,1523,"[3, 3]",rrsig_removal-ed448.example.
275,initial-,NS,falcon,1509,"[3, 3]",initial-falcon.example.
276,new_rrsig-,NS,falcon,2947,"[5, 5]",new_rrsig-falcon.example.
277,new_dnskey-,NS,falcon,2945,"[5, 5]",new_dnskey-falcon.example.
278,dnskey_removal-,NS,falcon,2961,"[5, 5]",dnskey_removal-falcon.example.
279,rrsig_removal-,NS,falcon,1525,"[3, 3]",rrsig_removal-falcon.example.
280,initial-,1 AAAA RR with RRSIG,rsasha1,391,"[2, 2]",initial-rsasha1.example.
281,new_rrsig-,1 AAAA RR with RRSIG,rsasha1,1113,"[3, 3]",new_rrsig-rsasha1.example.
282,new_dnskey-,1 AAAA RR with RRSIG,rsasha1,1113,"[3, 3]",new_dnskey-rsasha1.example.
283,dnskey_removal-,1 AAAA RR with RRSIG,rsasha1,1125,"[3, 3]",dnskey_removal-rsasha1.example.
284,rrsig_removal-,1 AAAA RR with RRSIG,rsasha1,807,"[2, 2]",rrsig_removal-rsasha1.example.
285,initial-,1 AAAA RR with RRSIG,rsasha256,395,"[2, 2]",initial-rsasha256.example.
286,new_rrsig-,1 AAAA RR with RRSIG,rsasha256,1117,"[3, 3]",new_rrsig-rsasha256.example.
287,new_dnskey-,1 AAAA RR with RRSIG,rsasha256,1116,"[3, 3]",new_dnskey-rsasha256.example.
288,dnskey_removal-,1 AAAA RR with RRSIG,rsasha256,1128,"[3, 3]",dnskey_removal-rsasha256.example.
289,rrsig_removal-,1 AAAA RR with RRSIG,rsasha256,808,"[2, 2]",rrsig_removal-rsasha256.example.
290,initial-,1 AAAA RR with RRSIG,rsasha512,395,"[2, 2]",initial-rsasha512.example.
291,new_rrsig-,1 AAAA RR with RRSIG,rsasha512,1115,"[3, 3]",new_rrsig-rsasha512.example.
292,new_dnskey-,1 AAAA RR with RRSIG,rsasha512,1119,"[3, 3]",new_dnskey-rsasha512.example.
293,dnskey_removal-,1 AAAA RR with RRSIG,rsasha512,1128,"[3, 3]",dnskey_removal-rsasha512.example.
294,rrsig_removal-,1 AAAA RR with RRSIG,rsasha512,806,"[2, 2]",rrsig_removal-rsasha512.example.
295,initial-,1 AAAA RR with RRSIG,ecdsa256,201,"[2, 2]",initial-ecdsa256.example.
296,new_rrsig-,1 AAAA RR with RRSIG,ecdsa256,920,"[3, 3]",new_rrsig-ecdsa256.example.
297,new_dnskey-,1 AAAA RR with RRSIG,ecdsa256,924,"[3, 3]",new_dnskey-ecdsa256.example.
298,dnskey_removal-,1 AAAA RR with RRSIG,ecdsa256,939,"[3, 3]",dnskey_removal-ecdsa256.example.
299,rrsig_removal-,1 AAAA RR with RRSIG,ecdsa256,806,"[2, 2]",rrsig_removal-ecdsa256.example.
300,initial-,1 AAAA RR with RRSIG,ecdsa384,233,"[2, 2]",initial-ecdsa384.example.
301,new_rrsig-,1 AAAA RR with RRSIG,ecdsa384,952,"[3, 3]",new_rrsig-ecdsa384.example.
302,new_dnskey-,1 AAAA RR with RRSIG,ecdsa384,957,"[3, 3]",new_dnskey-ecdsa384.example.
303,dnskey_removal-,1 AAAA RR with RRSIG,ecdsa384,966,"[3, 3]",dnskey_removal-ecdsa384.example.
304,rrsig_removal-,1 AAAA RR with RRSIG,ecdsa384,809,"[2, 2]",rrsig_removal-ecdsa384.example.
305,initial-,1 AAAA RR with RRSIG,ed25519,199,"[2, 2]",initial-ed25519.example.
306,new_rrsig-,1 AAAA RR with RRSIG,ed25519,922,"[3, 3]",new_rrsig-ed25519.example.
307,new_dnskey-,1 AAAA RR with RRSIG,ed25519,919,"[3, 3]",new_dnskey-ed25519.example.
308,dnskey_removal-,1 AAAA RR with RRSIG,ed25519,928,"[3, 3]",dnskey_removal-ed25519.example.
309,rrsig_removal-,1 AAAA RR with RRSIG,ed25519,806,"[2, 2]",rrsig_removal-ed25519.example.
310,initial-,1 AAAA RR with RRSIG,ed448,245,"[2, 2]",initial-ed448.example.
311,new_rrsig-,1 AAAA RR with RRSIG,ed448,960,"[3, 3]",new_rrsig-ed448.example.
312,new_dnskey-,1 AAAA RR with RRSIG,ed448,967,"[3, 3]",new_dnskey-ed448.example.
313,dnskey_removal-,1 AAAA RR with RRSIG,ed448,974,"[3, 3]",dnskey_removal-ed448.example.
314,rrsig_removal-,1 AAAA RR with RRSIG,ed448,801,"[2, 2]",rrsig_removal-ed448.example.
315,initial-,1 AAAA RR with RRSIG,falcon,793,"[2, 2]",initial-falcon.example.
316,new_rrsig-,1 AAAA RR with RRSIG,falcon,1513,"[3, 3]",new_rrsig-falcon.example.
317,new_dnskey-,1 AAAA RR with RRSIG,falcon,1513,"[3, 3]",new_dnskey-falcon.example.
318,dnskey_removal-,1 AAAA RR with RRSIG,falcon,1517,"[3, 3]",dnskey_removal-falcon.example.
319,rrsig_removal-,1 AAAA RR with RRSIG,falcon,800,"[2, 2]",rrsig_removal-falcon.example.
320,initial-,1 DNSKEY with RRSIG,rsasha1,639,"[2, 2]",initial-rsasha1.example.
321,new_rrsig-,1 DNSKEY with RRSIG,rsasha1,1356,"[3, 3]",new_rrsig-rsasha1.example.
322,new_dnskey-,1 DNSKEY with RRSIG,rsasha1,2275,"[3, 3]",new_dnskey-rsasha1.example.
323,dnskey_removal-,1 DNSKEY with RRSIG,rsasha1,2009,"[3, 3]",dnskey_removal-rsasha1.example.
324,rrsig_removal-,1 DNSKEY with RRSIG,rsasha1,1691,"[2, 2]",rrsig_removal-rsasha1.example.
325,initial-,1 DNSKEY with RRSIG,rsasha256,643,"[2, 2]",initial-rsasha256.example.
326,new_rrsig-,1 DNSKEY with RRSIG,rsasha256,1365,"[3, 3]",new_rrsig-rsasha256.example.
327,new_dnskey-,1 DNSKEY with RRSIG,rsasha256,2275,"[3, 3]",new_dnskey-rsasha256.example.
328,dnskey_removal-,1 DNSKEY with RRSIG,rsasha256,2014,"[3, 3]",dnskey_removal-rsasha256.example.
329,rrsig_removal-,1 DNSKEY with RRSIG,rsasha256,1698,"[2, 2]",rrsig_removal-rsasha256.example.
330,initial-,1 DNSKEY with RRSIG,rsasha512,643,"[2, 2]",initial-rsasha512.example.
331,new_rrsig-,1 DNSKEY with RRSIG,rsasha512,1366,"[3, 3]",new_rrsig-rsasha512.example.
332,new_dnskey-,1 DNSKEY with RRSIG,rsasha512,2278,"[3, 3]",new_dnskey-rsasha512.example.
333,dnskey_removal-,1 DNSKEY with RRSIG,rsasha512,2011,"[3, 3]",dnskey_removal-rsasha512.example.
334,rrsig_removal-,1 DNSKEY with RRSIG,rsasha512,1693,"[2, 2]",rrsig_removal-rsasha512.example.
335,initial-,1 DNSKEY with RRSIG,ecdsa256,253,"[2, 2]",initial-ecdsa256.example.
336,new_rrsig-,1 DNSKEY with RRSIG,ecdsa256,975,"[3, 3]",new_rrsig-ecdsa256.example.
337,new_dnskey-,1 DNSKEY with RRSIG,ecdsa256,1892,"[3, 3]",new_dnskey-ecdsa256.example.
338,dnskey_removal-,1 DNSKEY with RRSIG,ecdsa256,1821,"[3, 3]",dnskey_removal-ecdsa256.example.
339,rrsig_removal-,1 DNSKEY with RRSIG,ecdsa256,1686,"[2, 2]",rrsig_removal-ecdsa256.example.
340,initial-,1 DNSKEY with RRSIG,ecdsa384,317,"[2, 2]",initial-ecdsa384.example.
341,new_rrsig-,1 DNSKEY with RRSIG,ecdsa384,1035,"[3, 3]",new_rrsig-ecdsa384.example.
342,new_dnskey-,1 DNSKEY with RRSIG,ecdsa384,1956,"[3, 3]",new_dnskey-ecdsa384.example.
343,dnskey_removal-,1 DNSKEY with RRSIG,ecdsa384,1855,"[3, 3]",dnskey_removal-ecdsa384.example.
344,rrsig_removal-,1 DNSKEY with RRSIG,ecdsa384,1689,"[2, 2]",rrsig_removal-ecdsa384.example.
345,initial-,1 DNSKEY with RRSIG,ed25519,219,"[2, 2]",initial-ed25519.example.
346,new_rrsig-,1 DNSKEY with RRSIG,ed25519,936,"[3, 3]",new_rrsig-ed25519.example.
347,new_dnskey-,1 DNSKEY with RRSIG,ed25519,1851,"[3, 3]",new_dnskey-ed25519.example.
348,dnskey_removal-,1 DNSKEY with RRSIG,ed25519,1813,"[3, 3]",dnskey_removal-ed25519.example.
349,rrsig_removal-,1 DNSKEY with RRSIG,ed25519,1691,"[2, 2]",rrsig_removal-ed25519.example.
350,initial-,1 DNSKEY with RRSIG,ed448,290,"[2, 2]",initial-ed448.example.
351,new_rrsig-,1 DNSKEY with RRSIG,ed448,1008,"[3, 3]",new_rrsig-ed448.example.
352,new_dnskey-,1 DNSKEY with RRSIG,ed448,1918,"[3, 3]",new_dnskey-ed448.example.
353,dnskey_removal-,1 DNSKEY with RRSIG,ed448,1862,"[3, 3]",dnskey_removal-ed448.example.
354,rrsig_removal-,1 DNSKEY with RRSIG,ed448,1683,"[2, 2]",rrsig_removal-ed448.example.
355,initial-,1 DNSKEY with RRSIG,falcon,1681,"[2, 2]",initial-falcon.example.
356,new_rrsig-,1 DNSKEY with RRSIG,falcon,2397,"[3, 3]",new_rrsig-falcon.example.
357,new_dnskey-,1 DNSKEY with RRSIG,falcon,3303,"[3, 3]",new_dnskey-falcon.example.
358,dnskey_removal-,1 DNSKEY with RRSIG,falcon,2415,"[3, 3]",dnskey_removal-falcon.example.
359,rrsig_removal-,1 DNSKEY with RRSIG,falcon,1690,"[2, 2]",rrsig_removal-falcon.example.
360,initial-,MX,rsasha1,803,"[4, 4]",initial-rsasha1.example.
361,new_rrsig-,MX,rsasha1,2233,"[6, 6]",new_rrsig-rsasha1.example.
362,new_dnskey-,MX,rsasha1,2246,"[6, 6]",new_dnskey-rsasha1.example.
363,dnskey_removal-,MX,rsasha1,2273,"[6, 6]",dnskey_removal-rsasha1.example.
364,rrsig_removal-,MX,rsasha1,1633,"[4, 4]",rrsig_removal-rsasha1.example.
365,initial-,MX,rsasha256,811,"[4, 4]",initial-rsasha256.example.
366,new_rrsig-,MX,rsasha256,2251,"[6, 6]",new_rrsig-rsasha256.example.
367,new_dnskey-,MX,rsasha256,2260,"[6, 6]",new_dnskey-rsasha256.example.
368,dnskey_removal-,MX,rsasha256,2283,"[6, 6]",dnskey_removal-rsasha256.example.
369,rrsig_removal-,MX,rsasha256,1640,"[4, 4]",rrsig_removal-rsasha256.example.
370,initial-,MX,rsasha512,811,"[4, 4]",initial-rsasha512.example.
371,new_rrsig-,MX,rsasha512,2256,"[6, 6]",new_rrsig-rsasha512.example.
372,new_dnskey-,MX,rsasha512,2256,"[6, 6]",new_dnskey-rsasha512.example.
373,dnskey_removal-,MX,rsasha512,2285,"[6, 6]",dnskey_removal-rsasha512.example.
374,rrsig_removal-,MX,rsasha512,1643,"[4, 4]",rrsig_removal-rsasha512.example.
375,initial-,MX,ecdsa256,423,"[4, 4]",initial-ecdsa256.example.
376,new_rrsig-,MX,ecdsa256,1861,"[6, 6]",new_rrsig-ecdsa256.example.
377,new_dnskey-,MX,ecdsa256,1870,"[6, 6]",new_dnskey-ecdsa256.example.
378,dnskey_removal-,MX,ecdsa256,1892,"[6, 6]",dnskey_removal-ecdsa256.example.
379,rrsig_removal-,MX,ecdsa256,1634,"[4, 4]",rrsig_removal-ecdsa256.example.
380,initial-,MX,ecdsa384,487,"[4, 4]",initial-ecdsa384.example.
381,new_rrsig-,MX,ecdsa384,1927,"[6, 6]",new_rrsig-ecdsa384.example.
382,new_dnskey-,MX,ecdsa384,1930,"[6, 6]",new_dnskey-ecdsa384.example.
383,dnskey_removal-,MX,ecdsa384,1951,"[6, 6]",dnskey_removal-ecdsa384.example.
384,rrsig_removal-,MX,ecdsa384,1633,"[4, 4]",rrsig_removal-ecdsa384.example.
385,initial-,MX,ed25519,419,"[4, 4]",initial-ed25519.example.
386,new_rrsig-,MX,ed25519,1858,"[6, 6]",new_rrsig-ed25519.example.
387,new_dnskey-,MX,ed25519,1869,"[6, 6]",new_dnskey-ed25519.example.
388,dnskey_removal-,MX,ed25519,1885,"[6, 6]",dnskey_removal-ed25519.example.
389,rrsig_removal-,MX,ed25519,1632,"[4, 4]",rrsig_removal-ed25519.example.
390,initial-,MX,ed448,511,"[4, 4]",initial-ed448.example.
391,new_rrsig-,MX,ed448,1946,"[6, 6]",new_rrsig-ed448.example.
392,new_dnskey-,MX,ed448,1950,"[6, 6]",new_dnskey-ed448.example.
393,dnskey_removal-,MX,ed448,1967,"[6, 6]",dnskey_removal-ed448.example.
394,rrsig_removal-,MX,ed448,1620,"[4, 4]",rrsig_removal-ed448.example.
395,initial-,MX,falcon,1601,"[4, 4]",initial-falcon.example.
396,new_rrsig-,MX,falcon,3046,"[6, 6]",new_rrsig-falcon.example.
397,new_dnskey-,MX,falcon,3042,"[6, 6]",new_dnskey-falcon.example.
398,dnskey_removal-,MX,falcon,3067,"[6, 6]",dnskey_removal-falcon.example.
399,rrsig_removal-,MX,falcon,1629,"[4, 4]",rrsig_removal-falcon.example.
400,initial-,TXT,rsasha1,437,"[2, 2]",initial-rsasha1.example.
401,new_rrsig-,TXT,rsasha1,1155,"[3, 3]",new_rrsig-rsasha1.example.
402,new_dnskey-,TXT,rsasha1,1158,"[3, 3]",new_dnskey-rsasha1.example.
403,dnskey_removal-,TXT,rsasha1,1174,"[3, 3]",dnskey_removal-rsasha1.example.
404,rrsig_removal-,TXT,rsasha1,848,"[2, 2]",rrsig_removal-rsasha1.example.
405,initial-,TXT,rsasha256,441,"[2, 2]",initial-rsasha256.example.
406,new_rrsig-,TXT,rsasha256,1163,"[3, 3]",new_rrsig-rsasha256.example.
407,new_dnskey-,TXT,rsasha256,1167,"[3, 3]",new_dnskey-rsasha256.example.
408,dnskey_removal-,TXT,rsasha256,1181,"[3, 3]",dnskey_removal-rsasha256.example.
409,rrsig_removal-,TXT,rsasha256,856,"[2, 2]",rrsig_removal-rsasha256.example.
410,initial-,TXT,rsasha512,441,"[2, 2]",initial-rsasha512.example.
411,new_rrsig-,TXT,rsasha512,1158,"[3, 3]",new_rrsig-rsasha512.example.
412,new_dnskey-,TXT,rsasha512,1165,"[3, 3]",new_dnskey-rsasha512.example.
413,dnskey_removal-,TXT,rsasha512,1175,"[3, 3]",dnskey_removal-rsasha512.example.
414,rrsig_removal-,TXT,rsasha512,855,"[2, 2]",rrsig_removal-rsasha512.example.
415,initial-,TXT,ecdsa256,247,"[2, 2]",initial-ecdsa256.example.
416,new_rrsig-,TXT,ecdsa256,964,"[3, 3]",new_rrsig-ecdsa256.example.
417,new_dnskey-,TXT,ecdsa256,970,"[3, 3]",new_dnskey-ecdsa256.example.
418,dnskey_removal-,TXT,ecdsa256,983,"[3, 3]",dnskey_removal-ecdsa256.example.
419,rrsig_removal-,TXT,ecdsa256,850,"[2, 2]",rrsig_removal-ecdsa256.example.
420,initial-,TXT,ecdsa384,279,"[2, 2]",initial-ecdsa384.example.
421,new_rrsig-,TXT,ecdsa384,1003,"[3, 3]",new_rrsig-ecdsa384.example.
422,new_dnskey-,TXT,ecdsa384,996,"[3, 3]",new_dnskey-ecdsa384.example.
423,dnskey_removal-,TXT,ecdsa384,1012,"[3, 3]",dnskey_removal-ecdsa384.example.
424,rrsig_removal-,TXT,ecdsa384,852,"[2, 2]",rrsig_removal-ecdsa384.example.
425,initial-,TXT,ed25519,245,"[2, 2]",initial-ed25519.example.
426,new_rrsig-,TXT,ed25519,961,"[3, 3]",new_rrsig-ed25519.example.
427,new_dnskey-,TXT,ed25519,966,"[3, 3]",new_dnskey-ed25519.example.
428,dnskey_removal-,TXT,ed25519,980,"[3, 3]",dnskey_removal-ed25519.example.
429,rrsig_removal-,TXT,ed25519,852,"[2, 2]",rrsig_removal-ed25519.example.
430,initial-,TXT,ed448,291,"[2, 2]",initial-ed448.example.
431,new_rrsig-,TXT,ed448,1007,"[3, 3]",new_rrsig-ed448.example.
432,new_dnskey-,TXT,ed448,1008,"[3, 3]",new_dnskey-ed448.example.
433,dnskey_removal-,TXT,ed448,1026,"[3, 3]",dnskey_removal-ed448.example.
434,rrsig_removal-,TXT,ed448,848,"[2, 2]",rrsig_removal-ed448.example.
435,initial-,TXT,falcon,835,"[2, 2]",initial-falcon.example.
436,new_rrsig-,TXT,falcon,1551,"[3, 3]",new_rrsig-falcon.example.
437,new_dnskey-,TXT,falcon,1554,"[3, 3]",new_dnskey-falcon.example.
438,dnskey_removal-,TXT,falcon,1568,"[3, 3]",dnskey_removal-falcon.example.
439,rrsig_removal-,TXT,falcon,850,"[2, 2]",rrsig_removal-falcon.example.
440,initial-,PTR,rsasha1,803,"[4, 4]",initial-rsasha1.example.
441,new_rrsig-,PTR,rsasha1,2233,"[6, 6]",new_rrsig-rsasha1.example.
442,new_dnskey-,PTR,rsasha1,2246,"[6, 6]",new_dnskey-rsasha1.example.
443,dnskey_removal-,PTR,rsasha1,2273,"[6, 6]",dnskey_removal-rsasha1.example.
444,rrsig_removal-,PTR,rsasha1,1633,"[4, 4]",rrsig_removal-rsasha1.example.
445,initial-,PTR,rsasha256,811,"[4, 4]",initial-rsasha256.example.
446,new_rrsig-,PTR,rsasha256,2251,"[6, 6]",new_rrsig-rsasha256.example.
447,new_dnskey-,PTR,rsasha256,2260,"[6, 6]",new_dnskey-rsasha256.example.
448,dnskey_removal-,PTR,rsasha256,2283,"[6, 6]",dnskey_removal-rsasha256.example.
449,rrsig_removal-,PTR,rsasha256,1640,"[4, 4]",rrsig_removal-rsasha256.example.
450,initial-,PTR,rsasha512,811,"[4, 4]",initial-rsasha512.example.
451,new_rrsig-,PTR,rsasha512,2256,"[6, 6]",new_rrsig-rsasha512.example.
452,new_dnskey-,PTR,rsasha512,2256,"[6, 6]",new_dnskey-rsasha512.example.
453,dnskey_removal-,PTR,rsasha512,2285,"[6, 6]",dnskey_removal-rsasha512.example.
454,rrsig_removal-,PTR,rsasha512,1643,"[4, 4]",rrsig_removal-rsasha512.example.
455,initial-,PTR,ecdsa256,423,"[4, 4]",initial-ecdsa256.example.
456,new_rrsig-,PTR,ecdsa256,1861,"[6, 6]",new_rrsig-ecdsa256.example.
457,new_dnskey-,PTR,ecdsa256,1870,"[6, 6]",new_dnskey-ecdsa256.example.
458,dnskey_removal-,PTR,ecdsa256,1892,"[6, 6]",dnskey_removal-ecdsa256.example.
459,rrsig_removal-,PTR,ecdsa256,1634,"[4, 4]",rrsig_removal-ecdsa256.example.
460,initial-,PTR,ecdsa384,487,"[4, 4]",initial-ecdsa384.example.
461,new_rrsig-,PTR,ecdsa384,1927,"[6, 6]",new_rrsig-ecdsa384.example.
462,new_dnskey-,PTR,ecdsa384,1930,"[6, 6]",new_dnskey-ecdsa384.example.
463,dnskey_removal-,PTR,ecdsa384,1951,"[6, 6]",dnskey_removal-ecdsa384.example.
464,rrsig_removal-,PTR,ecdsa384,1633,"[4, 4]",rrsig_removal-ecdsa384.example.
465,initial-,PTR,ed25519,419,"[4, 4]",initial-ed25519.example.
466,new_rrsig-,PTR,ed25519,1858,"[6, 6]",new_rrsig-ed25519.example.
467,new_dnskey-,PTR,ed25519,1869,"[6, 6]",new_dnskey-ed25519.example.
468,dnskey_removal-,PTR,ed25519,1885,"[6, 6]",dnskey_removal-ed25519.example.
469,rrsig_removal-,PTR,ed25519,1632,"[4, 4]",rrsig_removal-ed25519.example.
470,initial-,PTR,ed448,511,"[4, 4]",initial-ed448.example.
471,new_rrsig-,PTR,ed448,1946,"[6, 6]",new_rrsig-ed448.example.
472,new_dnskey-,PTR,ed448,1950,"[6, 6]",new_dnskey-ed448.example.
473,dnskey_removal-,PTR,ed448,1967,"[6, 6]",dnskey_removal-ed448.example.
474,rrsig_removal-,PTR,ed448,1620,"[4, 4]",rrsig_removal-ed448.example.
475,initial-,PTR,falcon,1601,"[4, 4]",initial-falcon.example.
476,new_rrsig-,PTR,falcon,3046,"[6, 6]",new_rrsig-falcon.example.
477,new_dnskey-,PTR,falcon,3042,"[6, 6]",new_dnskey-falcon.example.
478,dnskey_removal-,PTR,falcon,3067,"[6, 6]",dnskey_removal-falcon.example.
479,rrsig_removal-,PTR,falcon,1629,"[4, 4]",rrsig_removal-falcon.example.
480,initial-,SRV,rsasha1,803,"[4, 4]",initial-rsasha1.example.
481,new_rrsig-,SRV,rsasha1,2233,"[6, 6]",new_rrsig-rsasha1.example.
482,new_dnskey-,SRV,rsasha1,2246,"[6, 6]",new_dnskey-rsasha1.example.
483,dnskey_removal-,SRV,rsasha1,2273,"[6, 6]",dnskey_removal-rsasha1.example.
484,rrsig_removal-,SRV,rsasha1,1633,"[4, 4]",rrsig_removal-rsasha1.example.
485,initial-,SRV,rsasha256,811,"[4, 4]",initial-rsasha256.example.
486,new_rrsig-,SRV,rsasha256,2251,"[6, 6]",new_rrsig-rsasha256.example.
487,new_dnskey-,SRV,rsasha256,2260,"[6, 6]",new_dnskey-rsasha256.example.
488,dnskey_removal-,SRV,rsasha256,2283,"[6, 6]",dnskey_removal-rsasha256.example.
489,rrsig_removal-,SRV,rsasha256,1640,"[4, 4]",rrsig_removal-rsasha256.example.
490,initial-,SRV,rsasha512,811,"[4, 4]",initial-rsasha512.example.
491,new_rrsig-,SRV,rsasha512,2256,"[6, 6]",new_rrsig-rsasha512.example.
492,new_dnskey-,SRV,rsasha512,2256,"[6, 6]",new_dnskey-rsasha512.example.
493,dnskey_removal-,SRV,rsasha512,2285,"[6, 6]",dnskey_removal-rsasha512.example.
494,rrsig_removal-,SRV,rsasha512,1643,"[4, 4]",rrsig_removal-rsasha512.example.
495,initial-,SRV,ecdsa256,423,"[4, 4]",initial-ecdsa256.example.
496,new_rrsig-,SRV,ecdsa256,1861,"[6, 6]",new_rrsig-ecdsa256.example.
497,new_dnskey-,SRV,ecdsa256,1870,"[6, 6]",new_dnskey-ecdsa256.example.
498,dnskey_removal-,SRV,ecdsa256,1892,"[6, 6]",dnskey_removal-ecdsa256.example.
499,rrsig_removal-,SRV,ecdsa256,1634,"[4, 4]",rrsig_removal-ecdsa256.example.
500,initial-,SRV,ecdsa384,487,"[4, 4]",initial-ecdsa384.example.
501,new_rrsig-,SRV,ecdsa384,1927,"[6, 6]",new_rrsig-ecdsa384.example.
502,new_dnskey-,SRV,ecdsa384,1930,"[6, 6]",new_dnskey-ecdsa384.example.
503,dnskey_removal-,SRV,ecdsa384,1951,"[6, 6]",dnskey_removal-ecdsa384.example.
504,rrsig_removal-,SRV,ecdsa384,1633,"[4, 4]",rrsig_removal-ecdsa384.example.
