,step,scenario,algorithm,length,qname_count,qname
49,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha256,1596,"[1, 4, 4]",wildcard.rrsig_removal-rsasha256.example.
50,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,767,"[1, 4, 4]",wildcard.initial-rsasha512.example.
51,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,2204,"[1, 6, 6]",wildcard.new_rrsig-rsasha512.example.
52,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,2214,"[1, 6, 6]",wildcard.new_dnskey-rsasha512.example.
53,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,2233,"[1, 6, 6]",wildcard.dnskey_removal-rsasha512.example.
54,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),rsasha512,1597,"[1, 4, 4]",wildcard.rrsig_removal-rsasha512.example.
55,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa256,379,"[1, 4, 4]",wildcard.initial-ecdsa256.example.
56,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa256,1821,"[1, 6, 6]",wildcard.new_rrsig-ecdsa256.example.
57,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa256,1826,"[1, 6, 6]",wildcard.new_dnskey-ecdsa256.example.
58,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa256,1848,"[1, 6, 6]",wildcard.dnskey_removal-ecdsa256.example.
59,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa256,1587,"[1, 4, 4]",wildcard.rrsig_removal-ecdsa256.example.
60,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa384,443,"[1, 4, 4]",wildcard.initial-ecdsa384.example.
61,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa384,1875,"[1, 6, 6]",wildcard.new_rrsig-ecdsa384.example.
62,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa384,1883,"[1, 6, 6]",wildcard.new_dnskey-ecdsa384.example.
63,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa384,1908,"[1, 6, 6]",wildcard.dnskey_removal-ecdsa384.example.
64,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),ecdsa384,1589,"[1, 4, 4]",wildcard.rrsig_removal-ecdsa384.example.
65,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed25519,375,"[1, 4, 4]",wildcard.initial-ed25519.example.
66,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed25519,1811,"[1, 6, 6]",wildcard.new_rrsig-ed25519.example.
67,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed25519,1814,"[1, 6, 6]",wildcard.new_dnskey-ed25519.example.
